,Unnamed: 0,Reference Key,Sentence,Translated Sentence,Score_shubham,score_saurabh,Difference,Average,Reference,F1_lexi,F1_syno,F1_root,COMET
10,10,S11,Bollywood stars Deepika Padukone and Hrithik Roshan are all set to join hands.,बॉलीवुड स्टार दीपिका पादुकोण और ऋतिक रोशन हाथ मिलाने के लिए पूरी तरह तैयार हैं।,2,3,-1,2.5,बॉलीवुड एक्ट्रेस दीपिका पादुकोण और ऋतिक रोशन एक साथ नजर आने वाले हैं।,0.5,0.42857142857142855,1.0,0.8528061509132385
11,11,S12,TVS Apache is the flagship brand of TVS Motor Company with over 3.5 million customers across the globe.,TVS Apache दुनिया भर में 35 लाख से अधिक ग्राहकों के साथ TVS मोटर कंपनी का प्रमुख ब्रांड है।,4,4,0,4.0,टीवीएस अपाचे दुनिया भर में 3.5 मिलियन से अधिक ग्राहकों के साथ टीवीएस मोटर कंपनी का प्रमुख ब्रांड है।,0.7777777777777778,1.0,0.0,0.9438260197639465
12,12,S13,"Popular comic-host Kapil Sharma and wife Ginni Chatrath on Monday welcomed their second child, a baby boy.","लोकप्रिय कॉमिक-होस्ट कपिल शर्मा और पत्नी गिन्नी चतरथ ने सोमवार को अपने दूसरे बच्चे, एक बेबी बॉय का स्वागत किया।",4,4,0,4.0,कपिल शर्मा और गिन्नी चतरथ ने अपने दूसरे बच्चे का स्वागत किया।,0.7499999999999999,0.0,0.0,0.23669832944869995
13,13,S14,India have two smart quicks in Jasprit Bumrah and Mohammed Shami.,भारत के पास जसप्रीत बुमराह और मोहम्मद शमी के रूप में दो तेज गेंदबाज हैं।,4,4,0,4.0,भारत के पास जसप्रीत बुमराह और मोहम्मद शमी के दो स्मार्ट विकेट हैं।,0.7857142857142856,0.3333333333333333,0.0,1.009661078453064
14,14,S15,"Pooja concluded by saying that people should not try to humiliate them by using the term ""nepotism"".","पूजा ने निष्कर्ष निकाला कि लोगों को ""भाई-भतीजावाद"" शब्द का उपयोग करके उन्हें अपमानित करने की कोशिश नहीं करनी चाहिए।",3,4,-1,3.5,पूजा ने कहा कि लोगों को नेपोटिज्म शब्द का उपयोग करके उन्हें अपमानित करने की कोशिश नहीं करनी चाहिए।,0.8717948717948718,0.4,0.6666666666666666,0.8551294207572937
15,15,S16,The left-handed Dhawan also became the first cricketer to score back to back centuries in IPL.,बाएं हाथ के धवन आईपीएल में एक के बाद एक शतक बनाने वाले पहले क्रिकेटर भी बने।,3,4,-1,3.5,धवन आईपीएल में शतक जड़ने वाले पहले क्रिकेटर हैं।,0.5384615384615384,0.16666666666666669,0.0,0.618999183177948
16,16,S17,The competition is only getting stronger and we need to be stronger too.,प्रतिस्पर्धा केवल मजबूत हो रही है और हमें भी मजबूत होने की जरूरत है।,3,4,-1,3.5,प्रतियोगिता केवल मजबूत हो रही है और हमें भी मजबूत होने की जरूरत है।,0.9285714285714286,1.0,0.0,1.1824462413787842
17,17,S18,The second Test of three-match series between England and Pakistan has ended in a draw on Monday.,इंग्लैंड और पाकिस्तान के बीच तीन मैचों की सीरीज का दूसरा टेस्ट सोमवार को ड्रॉ पर समाप्त हो गया।,4,4,0,4.0,इंग्लैंड और पाकिस्तान के बीच तीन मैचों की टेस्ट सीरीज का दूसरा मैच सोमवार को ड्रॉ हो गया।,0.9189189189189191,0.0,0.0,1.2110918760299683
18,18,S19,"Saina completely dominated Ireland's Rachael Darragh to secure a commanding 21-9, 21-5 win.","साइना ने आयरलैंड की राचेल दर्राघ पर पूरी तरह से हावी होकर 21-9, 21-5 से जीत दर्ज की।",4,4,0,4.0,"साइना ने 21-9, 21-5 से जीत हासिल की।",0.4545454545454545,0.16666666666666669,0.0,0.3831140398979187
19,19,S20,"Actor Saif Ali Khan's Amazon Prime Video series ""Tandav"" will hit the streaming platform on .","अभिनेता सैफ अली खान की अमेज़ॅन प्राइम वीडियो श्रृंखला ""तांडव"" स्ट्रीमिंग प्लेटफॉर्म पर .",3,4,-1,3.5,अभिनेता सैफ अली खान ने एमेजॉन वीडियो सीरीज ' प्राइम ' की शूटिंग शुरू कर दी है।,0.5,0.2857142857142857,0.4,0.27522847056388855
20,20,S21,India added 216 runs more to their first innings lead of 258 runs.,भारत ने अपनी पहली पारी में 258 रन की बढ़त के साथ 216 रन और जोड़े।,4,3,1,3.5,भारत ने पहली पारी में 258 रनों की बढ़त बना ली है।,0.56,0.18181818181818185,0.0,0.676507294178009
21,21,S22,The market opening time was revised to 10 am instead of 9 am for all segments.,सभी खंडों के लिए बाजार खुलने का समय सुबह 9 बजे के बजाय संशोधित कर सुबह 10 बजे कर दिया गया।,2,3,-1,2.5,सभी क्षेत्रों के लिए सुबह 9 बजे के बजाय बाजार खोलने का समय 10 बजे संशोधित किया गया था।,0.7222222222222222,0.6,0.0,0.8910250067710876
22,22,S23,Pennsylvania had just two ways to vote: Mail or in person.,पेन्सिलवेनिया के पास वोट करने के सिर्फ दो तरीके थे: मेल या व्यक्तिगत रूप से।,3,4,-1,3.5,पेंसिल्वेनिया के पास सिर्फ दो तरीके थे:मेल या व्यक्तिगत रूप से।,0.6923076923076923,0.25,0.33333333333333337,1.1317172050476074
23,23,S24,Rahim was manager of the Indian national football team from 1950 until his death in 1963.,रहीम 1950 से 1963 में अपनी मृत्यु तक भारतीय राष्ट्रीय फुटबॉल टीम के प्रबंधक रहे।,4,4,0,4.0,रहीम १९५० से १९६३ तक भारतीय राष्ट्रीय फुटबॉल टीम के प्रबंधक थे।,0.7199999999999999,0.2857142857142857,0.0,1.2466061115264893
24,24,S25,A second-largest copper mine in whole of Asia is in Tibet.,पूरे एशिया में दूसरी सबसे बड़ी तांबे की खदान तिब्बत में है।,4,4,0,4.0,पूरे एशिया में दूसरा सबसे बड़ा तांबा खदान तिब्बत में है।,0.6956521739130435,0.5714285714285715,0.0,1.3028082847595215
25,25,S26,UCO Bank had in the previous round of sanctions handled rupee payments.,यूको बैंक ने प्रतिबंधों के पिछले दौर में रुपये के भुगतान को संभाला था।,3,4,-1,3.5,यूको बैंक ने पिछले दौर में रुपये के भुगतान पर प्रतिबंध लगाए थे।,0.6666666666666666,0.6666666666666665,1.3333333333333333,0.5756712555885315
26,26,S27,"Facebook, Google, Amazon and Apple have come under scrutiny from Congress, federal regulators, state attorneys general and European authorities.","Facebook, Google, Amazon और Apple कांग्रेस, संघीय नियामकों, राज्य के अटॉर्नी जनरल और यूरोपीय अधिकारियों की जांच के दायरे में आ गए हैं।",3,4,-1,3.5,"फेसबुक, गूगल, एमेजॉन और एप्पल कांग्रेस, संघीय नियामक, राज्य अटॉर्नी जनरल और यूरोपीय अधिकारियों से जांच के दायरे में हैं।",0.6511627906976744,0.6666666666666667,1.2,1.1692496538162231
27,27,S28,"Jason Roy, English opener, became the first batsman to score a half-century in the 2019 World Cup.",इंग्लैंड के सलामी बल्लेबाज जेसन रॉय 2019 विश्व कप में अर्धशतक बनाने वाले पहले बल्लेबाज बने।,4,4,0,4.0,इंग्लैंड के सलामी बल्लेबाज जेसन रॉय 2019 विश्व कप में अर्धशतक बनाने वाले पहले बल्लेबाज बने।,1.0,0.0,0.0,1.2739660739898682
28,28,S29,Actor Ayushmann Khurrana will be seen playing a cross-functional athlete in an upcoming film directed by Abhishek Kapoor.,अभिनेता आयुष्मान खुराना अभिषेक कपूर द्वारा निर्देशित एक आगामी फिल्म में एक क्रॉस-फंक्शनल एथलीट की भूमिका निभाते नजर आएंगे।,4,4,0,4.0,अभिनेता आयुष्मान खुराना अभिषेक कपूर की आगामी फिल्म में एक क्रॉस-फंक्शनल एथलीट की भूमिका निभाते नजर आएंगे।,0.8888888888888888,0.5,0.0,1.236809253692627
29,29,S30,"Three decades ago, the city of Mumbai became well-known as the cradle of notorious underworld criminals.","तीन दशक पहले, मुंबई शहर कुख्यात अंडरवर्ल्ड अपराधियों के पालने के रूप में प्रसिद्ध हुआ।",3,4,-1,3.5,"तीन दशक पहले, मुंबई शहर कुख्यात अंडरवर्ल्ड अपराधियों के पालने के रूप में जाना जाता था।",0.8387096774193549,0.4,0.0,1.2858211994171143
30,30,S31,"The Reliance Foundation is setting up 1,000-bed Covid care facilities with oxygen supply at Jamnagar in Gujarat.","रिलायंस फाउंडेशन गुजरात के जामनगर में ऑक्सीजन की आपूर्ति के साथ 1,000 बिस्तरों वाली कोविड देखभाल सुविधाओं की स्थापना कर रहा है।",3,3,0,3.0,"रिलायंस फाउंडेशन गुजरात के जामनगर में ऑक्सीजन आपूर्ति के साथ 1,000 बेड की कोविड देखभाल सुविधाओं की स्थापना कर रहा है।",0.9268292682926828,0.6666666666666666,0.0,1.1843053102493286
31,31,S32,Fitness will be one of the key aspects at the T20 World Cup this year.,इस साल टी20 विश्व कप में फिटनेस एक अहम पहलू होगा।,4,4,0,4.0,इस साल टी20 विश्व कप में फिटनेस एक महत्वपूर्ण पहलू होगा।,0.9090909090909092,1.0,0.0,1.3192265033721924
32,32,S33,Director Om Raut has begun the Adipurush journey with motion capture.,निर्देशक ओम राउत ने मोशन कैप्चर के साथ आदिपुरुष यात्रा की शुरुआत की है।,4,3,1,3.5,निर्देशक ओम राउत ने मोशन कैप्चर के साथ आदिपुरुष यात्रा शुरू की है।,0.8888888888888891,0.6666666666666666,0.0,1.2946604490280151
33,33,S34,He is the first person I call for any advice.With inputs from PTI۔,वह पहले व्यक्ति हैं जिन्हें मैं किसी भी सलाह के लिए बुलाता हूं। पीटीआई से इनपुट के साथ।,3,4,-1,3.5,वह पहला व्यक्ति है जिसे मैं किसी भी सलाह के लिए आमंत्रित करता हूं।,0.5625000000000001,0.42857142857142855,1.5,0.3889384865760803
34,34,S35,External Affairs Minister S Jaishankar on Wednesday visited 200-year-old Shreenathji Hindu Temple at Manama in Bahrain.,विदेश मंत्री एस जयशंकर ने बुधवार को बहरीन के मनामा में 200 साल पुराने श्रीनाथजी हिंदू मंदिर का दौरा किया।,4,4,0,4.0,विदेश मंत्री एस जयशंकर ने बुधवार को बहरीन के मनामा में 200 वर्षीय श्रीनाथजी हिंदू मंदिर का दौरा किया।,0.9189189189189191,0.6666666666666666,0.0,1.2501225471496582
35,35,S36,Total project cost for both phases would be USD 275-290 million.,दोनों चरणों के लिए कुल परियोजना लागत 275-290 मिलियन अमरीकी डॉलर होगी।,4,4,0,4.0,दोनों चरणों के लिए कुल परियोजना लागत 275-290 मिलियन अमेरिकी डॉलर होगी।,0.9090909090909092,0.0,1.0,1.2646082639694214
36,36,S37,"To eradicate poverty, a minimum income is needed otherwise poverty will not end.",गरीबी मिटाने के लिए न्यूनतम आय जरूरी है अन्यथा गरीबी खत्म नहीं होगी।,4,4,0,4.0,गरीबी उन्मूलन के लिए न्यूनतम आय की आवश्यकता है अन्यथा गरीबी समाप्त नहीं होगी।,0.7407407407407408,0.5714285714285715,0.0,1.213282823562622
37,37,S38,"Franka Potente played the titular role of Lola, while the film also starred Moritz Bleibtreu.","फ्रेंका पोटेंटे ने लोला की नाममात्र की भूमिका निभाई, जबकि फिल्म में मोरित्ज़ ब्लेबट्रेयू ने भी अभिनय किया।",4,3,1,3.5,"फ्रैंका पोटेंटे ने लोला की शीर्षक भूमिका निभाई, जबकि फिल्म में मोरिट्ज ब्लीब्रेयू भी थे।",0.606060606060606,0.3076923076923077,0.4444444444444444,0.8347097039222717
38,38,S39,Jesse Lingard on Man UtdAll football is currently on hold due to the coronavirus pandemic.,मैन यूडीटी पर जेसी लिंगार्ड वर्तमान में कोरोनावायरस महामारी के कारण सभी फुटबॉल होल्ड पर है।,3,3,0,3.0,कोरोनोवायरस महामारी के कारण मैन उटाल फुटबॉल पर जेसी लिंगर्ड फिलहाल रोक हैं।,0.4827586206896552,0.13333333333333333,0.0,0.23703539371490479
39,39,S40,"During COVID-19, functioning of Anganwadi Centres were permitted as per guidelines issued by Government from time to time.","COVID-19 के दौरान, सरकार द्वारा समय-समय पर जारी दिशा-निर्देशों के अनुसार आंगनवाड़ी केंद्रों के कामकाज की अनुमति दी गई थी।",3,4,-1,3.5,कोविड-19 के दौरान सरकार द्वारा समय-समय पर जारी दिशा-निर्देशों के अनुसार आंगनवाड़ी केंद्रों के कामकाज की अनुमति दी गई।,0.9230769230769232,0.0,0.0,1.1591551303863525
40,40,S41,The former Miss World is currently working on her memoir book 'Unfinished.',पूर्व मिस वर्ल्ड वर्तमान में अपनी संस्मरण पुस्तक 'अनफिनिश्ड' पर काम कर रही हैं।,4,4,0,4.0,पूर्व मिस वर्ल्ड वर्तमान में उनके संस्मरण पर काम कर रही है।,0.7692307692307692,0.6666666666666666,0.0,0.43047812581062317
41,41,S42,Kareena on Tuesday took to Instagram to share a picture of the stunning trio.,करीना ने मंगलवार को इंस्टाग्राम पर शानदार तिकड़ी की एक तस्वीर साझा की।,3,4,-1,3.5,करीना ने इंस्टाग्राम पर एक फोटो शेयर की है।,0.5454545454545455,0.4,0.33333333333333337,0.44794762134552
42,42,S43,"The second story 'Happy Birthday', directed by Aman Sachdeva, attempts to satirize the cult of blind faith and superstition.",अमन सचदेवा द्वारा निर्देशित दूसरी कहानी 'हैप्पी बर्थडे' अंध विश्वास और अंधविश्वास के पंथ पर व्यंग्य करने का प्रयास करती है।,4,3,1,3.5,अमन सचदेवा द्वारा निर्देशित दूसरी कहानी हैप्पी बर्थडे ' अंध विश्वास और अंधविश्वास के पंथ को नष्ट करने का प्रयास करती है।,0.9047619047619048,0.5,1.0,1.0771403312683105
43,43,S44,"Prime Minister Narendra Modi inaugurated Ropax ferry services between Surat and Saurashtra in Gujarat, through video conferencing on Sunday.",प्रधानमंत्री नरेंद्र मोदी ने रविवार को वीडियो कॉन्फ्रेंसिंग के जरिए गुजरात के सूरत और सौराष्ट्र के बीच रोपैक्स फेरी सेवाओं का उद्घाटन किया।,4,4,0,4.0,प्रधानमंत्री नरेंद्र मोदी ने वीडियो कॉन्फ्रेंसिंग के जरिए गुजरात के सूरत और सौराष्ट्र के बीच रोपेक्स फेरी सेवा का उद्घाटन किया।,0.8636363636363636,0.3333333333333333,0.0,1.2692850828170776
44,44,S45,Bihar has currently imposed a night curfew from 9 pm to 5 am.,बिहार ने फिलहाल रात 9 बजे से सुबह 5 बजे तक रात का कर्फ्यू लगा दिया है।,3,4,-1,3.5,बिहार में रात 9 बजे से सुबह 5 बजे तक कर्फ्यू लगाया गया है।,0.6666666666666665,0.2222222222222222,0.2857142857142857,1.1720607280731201
45,45,S46,"Tiger as Ranveer ""Ronnie"" and Riteish as Vikram feature brothers in the film.","फिल्म में टाइगर के रूप में रणवीर ""रॉनी"" और विक्रम के रूप में रितेश फिल्म में भाई हैं।",3,3,0,3.0,"रणवीर के रोल में टाइगर, विक्रम और रितेश हैं।",0.5925925925925926,0.0,0.0,0.13180233538150787
46,46,S47,Posters featuring Lalu Prasad Yadav and Mohammad Shahabuddin banging 'thalis' inside the jail.,जेल के अंदर लालू प्रसाद यादव और मोहम्मद शहाबुद्दीन की थाली पीटते हुए पोस्टर।,4,4,0,4.0,जेल के अंदर लालू प्रसाद यादव और मोहम्मद शहाबुद्दीन के पोस्टर लगे हैं।,0.7407407407407408,0.5714285714285715,0.6666666666666666,0.38520240783691406
47,47,S48,Sajjanar and the Society for Cyberabad Security Council (SCSC) appreciated the actor's generosity.,सज्जनर और सोसाइटी फॉर साइबराबाद सिक्योरिटी काउंसिल (एससीएससी) ने अभिनेता की उदारता की सराहना की।,4,4,0,4.0,सज्जनार और साइबराबाद सुरक्षा परिषद ने एससीएससी की सराहना की।,0.56,0.3636363636363637,0.0,0.5497590899467468
48,48,S49,Actor Manoj Bajpayee on Saturday shared the news that he has commenced the shoot of his upcoming film Dispatch.,अभिनेता मनोज बाजपेयी ने शनिवार को यह खबर साझा की कि उन्होंने अपनी आगामी फिल्म डिस्पैच की शूटिंग शुरू कर दी है।,4,4,0,4.0,अभिनेता मनोज बाजपेयी ने अपनी आगामी फिल्म ' डिस्पैच ' की शूटिंग शुरू कर दी है।,0.7777777777777778,0.0,0.0,1.1579804420471191
49,49,S50,Deputy Chairman Imran Khwaja has assumed the responsibilities of the chairperson until a successor is elected.,उपसभापति इमरान ख्वाजा ने उत्तराधिकारी चुने जाने तक अध्यक्ष की जिम्मेदारी संभाली है।,4,4,0,4.0,उपाध्यक्ष इमरान ख्वाजा ने अध्यक्ष पद की जिम्मेदारी संभाली है।,0.6956521739130435,0.5714285714285715,0.0,0.6261579990386963
50,50,S51,India's No.3 batsman Cheteshwar Pujara has now played 28 Test innings without scoring a century.,भारत के नंबर 3 बल्लेबाज चेतेश्वर पुजारा ने अब बिना शतक लगाए 28 टेस्ट पारियां खेली हैं।,3,3,0,3.0,चेतेश्वर पुजारा ने नाबाद 28 रन बनाए।,0.2857142857142857,0.26666666666666666,0.3636363636363637,0.45327556133270264
51,51,S52,Serbian star joined Rafael Nadal and Roger Federer in skipping the Miami Open which starts from March 22.,22 मार्च से शुरू होने वाले मियामी ओपन में सर्बियाई स्टार राफेल नडाल और रोजर फेडरर के साथ शामिल हो गए।,0,2,-2,1.0,सर्बियाई स्टार राफेल नडाल और रोजर फेडरर मियामी ओपन से बाहर हो गए हैं।,0.7058823529411764,0.4,0.0,0.03852184861898422
52,52,S53,"I am hungrier than ever before, there is no doubt about that.","मुझे पहले से ज्यादा भूख लगी है, इसमें कोई शक नहीं है।",2,3,-1,2.5,"मैं पहले से ज्यादा शिकार हूं, इसमें कोई शक नहीं है।",0.6956521739130435,0.2857142857142857,0.0,0.5890069603919983
53,53,S54,Japan says it's officially spending $12.6 billion to organize the Olympics.,जापान का कहना है कि वह आधिकारिक तौर पर ओलंपिक के आयोजन पर 12.6 अरब डॉलर खर्च कर रहा है।,4,4,0,4.0,जापान का कहना है कि आधिकारिक रूप से ओलंपिक को आयोजित करने के लिए $ 12.6 बिलियन खर्च।,0.5142857142857142,0.588235294117647,2.2857142857142865,1.083587884902954
54,54,S55,Airplanes are designed at the very edge of what is possible.,हवाई जहाज जो संभव है उसके बिल्कुल किनारे पर डिज़ाइन किए गए हैं।,2,2,0,2.0,वायुयानों को उसी छोर पर डिजाइन किया गया है जो संभव है।,0.32,0.5882352941176471,0.2857142857142857,0.40057677030563354
55,55,S56,"Mahesh ManjrekarMahesh Manjrekar as Begum in RajjoIn 2013 release Rajjo Mahesh Manjrekar played Begum, a brothel madam.",महेश मांजरेकरमहेश मांजरेकर ने रज्जो में बेगम के रूप में 2013 की रिलीज़ में रज्जो महेश मांजरेकर ने एक वेश्यालय मैडम बेगम की भूमिका निभाई।,3,3,0,3.0,महेश मांजरेकर 2013 की राजजॉइन में बेगम के रूप में महेश मांजरेकर ने बेगम का किरदार निभाया था।,0.5853658536585366,0.4705882352941176,0.0,-0.01394151896238327
56,56,S57,Bhoomi is also a propagator behind the much-lauded online and offline initiative Climate Warrior.,भूमि बहुप्रशंसित ऑनलाइन और ऑफलाइन पहल क्लाइमेट वारियर के पीछे एक प्रचारक भी है।,4,4,0,4.0,भूमि ऑनलाइन और ऑफलाइन पहल जलवायु योद्धा के पीछे एक प्रचारक भी है।,0.8148148148148148,0.0,0.0,0.4373666048049927
57,57,S58,The cake has been made using imported Belgian chocolate and weighs about 20 kg.,केक आयातित बेल्जियम चॉकलेट का उपयोग करके बनाया गया है और इसका वजन लगभग 20 किलो है।,4,4,0,4.0,यह केक आयातित बेल्जियम चॉकलेट और वजन लगभग 20 किलोग्राम का उपयोग करके बनाया गया है।,0.8387096774193549,0.4,0.6666666666666666,1.3095941543579102
58,58,S59,"Manchester City is ""good enough"" to win the Champions League title this season, feels Man City forward Riyad Mahrez.","मैन सिटी फॉरवर्ड रियाद महरेज़ को लगता है कि मैनचेस्टर सिटी इस सीज़न में चैंपियंस लीग का खिताब जीतने के लिए ""काफी अच्छा"" है।",3,3,0,3.0,मैनचेस्टर सिटी चैम्पियंस लीग का खिताब जीतने के लिए काफी अच्छा है।,0.6111111111111109,0.14285714285714288,0.0,0.504193127155304
59,59,S60,He is also working on the fourth installment in the Matrix franchise.,वह मैट्रिक्स फ्रैंचाइज़ी में चौथी किस्त पर भी काम कर रहे हैं।,4,3,1,3.5,वह मैट्रिक्स फ्रेंचाइजी की चौथी किस्त पर भी काम कर रहे हैं।,0.8333333333333334,0.5,1.0,1.0341676473617554
60,60,S61,All the guys took responsibility and it is very nice to see.,सभी लोगों ने जिम्मेदारी ली और यह देखकर बहुत अच्छा लगा।,4,4,0,4.0,सभी लोगों ने जिम्मेदारी ली और यह देखना बहुत अच्छा है।,0.8181818181818182,0.5,1.0,1.2158153057098389
61,61,S62,Vignesh's cross in the very first minute of the game was duly dealt with.,खेल के पहले ही मिनट में विग्नेश के क्रास को विधिवत निपटाया गया।,0,2,-2,1.0,विग्नेश ने मैच के पहले ही मिनट में क्रॉस किया।,0.5217391304347826,0.5454545454545454,1.2,0.2784181237220764
62,62,S63,"Mumbai Police was investigating the matter.On July 25, Sushant's father K.K.",मुंबई पुलिस मामले की जांच कर रही थी। 25 जुलाई को सुशांत के पिता केके,3,4,-1,3.5,मुंबई पुलिस 25 जुलाई को सुशांत के पिता के.के.,0.7272727272727273,0.0,0.0,1.0100146532058716
63,63,S64,I couldn't sleep the entire night. I felt that I had given my best yet was excited.,मैं पूरी रात सो नहीं सका। मुझे लगा कि मैंने अपना सर्वश्रेष्ठ दिया है फिर भी उत्साहित हूं।,3,4,-1,3.5,मैं बहुत खुश था।,0.0909090909090909,0.3,0.0,-0.23857742547988892
64,64,S65,"He is currently being monitored by the BCCI medical team,"" the BCCI tweeted.Australia were at 154/3 at Tea.",बीसीसीआई की मेडिकल टीम उनकी निगरानी कर रही है।',1,2,-1,1.5,फिलहाल बीसीसीआई की मेडिकल टीम उनकी निगरानी कर रही है।,0.9473684210526316,0.0,0.0,1.283765196800232
65,65,S66,"Airtel Xstream Fibre offers unlimited broadband at 1Gbps for just Rs 3,999/month.","एयरटेल एक्सस्ट्रीम फाइबर केवल 3,999 रुपये प्रति माह में 1 जीबीपीएस पर असीमित ब्रॉडबैंड प्रदान करता है।",3,4,-1,3.5,एयरटेल एक्सस्ट्रीम फाइबर 1जीबीपीएस पर अनलिमिटेड ब्रॉडबैंड ऑफर कर रहा है।,0.5384615384615385,0.16666666666666666,0.0,1.0322649478912354
66,66,S67,"The definition of a developed country is the one whose per capita income is USD 12,000.","एक विकसित देश की परिभाषा वह है जिसकी प्रति व्यक्ति आय 12,000 अमेरिकी डॉलर है।",4,4,0,4.0,"एक विकसित देश की परिभाषा वह है जिसकी प्रति व्यक्ति आय 12,000 डॉलर है।",0.962962962962963,0.0,0.0,1.2917392253875732
67,67,S68,The final result was based on the total number of votes cast by the coaches and the journalists.,अंतिम परिणाम कोचों और पत्रकारों द्वारा डाले गए वोटों की कुल संख्या पर आधारित था।,4,4,0,4.0,अंतिम परिणाम कोचों और पत्रकारों द्वारा डाले गए मतों की कुल संख्या पर आधारित था।,0.9333333333333332,1.0,0.0,1.2622294425964355
68,68,S69,COVID-19 cases and disappointing earnings will continue to weigh on the sentiments ahead.,COVID-19 मामले और निराशाजनक कमाई आगे की भावनाओं पर असर करती रहेगी।,4,3,1,3.5,कोविड-19 के मामले और निराशाजनक कमाई आगे भी जारी रहेगी।,0.5454545454545454,0.4,0.6666666666666666,0.5301902294158936
69,69,S70,Kahaani Ghar Ghar Kii actor Sachin Kumar breathed his last here on May 15.,कहानी घर घर की अभिनेता सचिन कुमार ने यहां 15 मई को अंतिम सांस ली।,4,4,0,4.0,बॉलीवुड अभिनेता सचिन कुमार का 15 मई को निधन हो गया।,0.4166666666666666,0.14285714285714285,0.16666666666666666,-0.03424348682165146
